entity_id,state,last_changed
sensor.plantesp_plants_1_moisture,67.79,2024-03-12T21:18:05.000Z
sensor.plantesp_plants_1_moisture,67.64,2024-03-12T21:23:05.000Z
sensor.plantesp_plants_1_moisture,67.59,2024-03-12T21:28:05.000Z
sensor.plantesp_plants_1_moisture,67.48,2024-03-12T21:33:05.000Z
sensor.plantesp_plants_1_moisture,67.42,2024-03-12T21:38:05.000Z
sensor.plantesp_plants_1_moisture,67.28,2024-03-12T21:43:05.000Z
sensor.plantesp_plants_1_moisture,67.17,2024-03-12T21:48:05.000Z
sensor.plantesp_plants_1_moisture,67.11,2024-03-12T21:53:05.000Z
sensor.plantesp_plants_1_moisture,67.01,2024-03-12T21:58:05.000Z
sensor.plantesp_plants_1_moisture,66.95,2024-03-12T22:03:05.000Z
sensor.plantesp_plants_1_moisture,66.93,2024-03-12T22:08:05.000Z
sensor.plantesp_plants_1_moisture,66.91,2024-03-12T22:13:05.000Z
sensor.plantesp_plants_1_moisture,66.82,2024-03-12T22:18:05.000Z
sensor.plantesp_plants_1_moisture,66.77,2024-03-12T22:23:05.000Z
sensor.plantesp_plants_1_moisture,66.62,2024-03-12T22:28:05.000Z
sensor.plantesp_plants_1_moisture,66.51,2024-03-12T22:33:05.000Z
sensor.plantesp_plants_1_moisture,66.49,2024-03-12T22:38:05.000Z
sensor.plantesp_plants_1_moisture,66.43,2024-03-12T22:43:05.000Z
sensor.plantesp_plants_1_moisture,66.34,2024-03-12T22:48:05.000Z
sensor.plantesp_plants_1_moisture,66.32,2024-03-12T22:53:05.000Z
sensor.plantesp_plants_1_moisture,66.23,2024-03-12T22:58:05.000Z
sensor.plantesp_plants_1_moisture,66.19,2024-03-12T23:03:05.000Z
sensor.plantesp_plants_1_moisture,66.16,2024-03-12T23:08:05.000Z
sensor.plantesp_plants_1_moisture,66.06,2024-03-12T23:13:05.000Z
sensor.plantesp_plants_1_moisture,65.91,2024-03-12T23:18:05.000Z
sensor.plantesp_plants_1_moisture,65.86,2024-03-12T23:23:05.000Z
sensor.plantesp_plants_1_moisture,65.78,2024-03-12T23:28:05.000Z
sensor.plantesp_plants_1_moisture,65.64,2024-03-12T23:33:05.000Z
sensor.plantesp_plants_1_moisture,65.58,2024-03-12T23:38:05.000Z
sensor.plantesp_plants_1_moisture,65.53,2024-03-12T23:43:05.000Z
sensor.plantesp_plants_1_moisture,65.37,2024-03-12T23:48:05.000Z
sensor.plantesp_plants_1_moisture,65.23,2024-03-12T23:53:05.000Z
sensor.plantesp_plants_1_moisture,65.1,2024-03-12T23:58:05.000Z
sensor.plantesp_plants_1_moisture,65.08,2024-03-13T00:03:05.000Z
sensor.plantesp_plants_1_moisture,64.97,2024-03-13T00:08:05.000Z
sensor.plantesp_plants_1_moisture,64.9,2024-03-13T00:13:05.000Z
sensor.plantesp_plants_1_moisture,64.75,2024-03-13T00:18:05.000Z
sensor.plantesp_plants_1_moisture,64.72,2024-03-13T00:23:05.000Z
sensor.plantesp_plants_1_moisture,64.58,2024-03-13T00:28:05.000Z
sensor.plantesp_plants_1_moisture,64.52,2024-03-13T00:33:05.000Z
sensor.plantesp_plants_1_moisture,64.39,2024-03-13T00:38:05.000Z
sensor.plantesp_plants_1_moisture,64.25,2024-03-13T00:43:05.000Z
sensor.plantesp_plants_1_moisture,64.1,2024-03-13T00:48:05.000Z
sensor.plantesp_plants_1_moisture,64.01,2024-03-13T00:53:05.000Z
sensor.plantesp_plants_1_moisture,63.92,2024-03-13T00:58:05.000Z
