time,moisture
2024-03-21 02:12:20,39.73
2024-03-21 02:12:40,39.25
2024-03-21 02:13:00,38.73
2024-03-21 02:13:20,38.78
2024-03-21 02:13:40,39.29
2024-03-21 02:14:00,39.88
2024-03-21 02:14:20,39.64
2024-03-21 02:14:40,39.61
2024-03-21 02:15:00,39.7
2024-03-21 02:15:20,39.13
2024-03-21 02:15:40,38.81
2024-03-21 02:16:00,39.54
2024-03-21 02:16:20,39.2
2024-03-21 02:16:40,38.97
2024-03-21 02:17:00,39.38
2024-03-21 02:17:20,39.17
2024-03-21 02:17:40,38.64
2024-03-21 02:18:00,38.49
2024-03-21 02:18:20,38.55
2024-03-21 02:18:40,38.63
2024-03-21 02:19:20,38.96
2024-03-21 02:19:40,39.58
2024-03-21 02:20:00,39.61
2024-03-21 02:20:20,39.32
2024-03-21 02:20:40,39.06
2024-03-21 02:21:00,39.02
2024-03-21 02:21:20,39.33
2024-03-21 02:21:40,39.53
2024-03-21 02:22:00,39.23
2024-03-21 02:22:20,38.73
2024-03-21 02:22:40,38.68
2024-03-21 02:23:00,39.03
2024-03-21 02:23:20,39.62
2024-03-21 02:23:40,39.27
2024-03-21 02:24:00,38.63
2024-03-21 02:24:20,38.76
2024-03-21 02:24:40,39.16
2024-03-21 02:25:00,39.77
2024-03-21 02:25:20,39.75
2024-03-21 02:25:40,39.15
2024-03-21 02:26:00,38.67
2024-03-21 02:26:20,38.62
2024-03-21 02:26:40,39.37
2024-03-21 02:27:00,39.5
2024-03-21 02:27:20,38.93
2024-03-21 02:27:40,38.7
2024-03-21 02:28:00,38.74
2024-03-21 02:28:20,38.78
2024-03-21 02:28:40,38.75
2024-03-21 02:29:00,39.01
2024-03-21 02:29:20,39.72
2024-03-21 02:29:40,39.74
2024-03-21 02:30:00,39.87
2024-03-21 02:30:20,39.84
2024-03-21 02:30:40,39.83
2024-03-21 02:31:00,39.3
2024-03-21 02:31:20,38.78
2024-03-21 02:31:40,39.49
2024-03-21 02:32:00,39.33
2024-03-21 02:32:20,38.76
2024-03-21 02:33:00,38.82
2024-03-21 02:33:20,38.67
2024-03-21 02:33:40,38.74
2024-03-21 02:34:00,39.42
2024-03-21 02:34:20,39.44
2024-03-21 02:34:40,38.74
2024-03-21 02:35:00,38.63
2024-03-21 02:35:20,38.77
2024-03-21 02:35:40,38.56
2024-03-21 02:36:00,38.83
2024-03-21 02:36:20,39.31
2024-03-21 02:36:40,39.7
2024-03-21 02:37:00,39.51
2024-03-21 02:37:20,38.8
2024-03-21 02:37:40,38.94
2024-03-21 02:38:00,39.5
2024-03-21 02:38:20,38.84
2024-03-21 02:38:40,38.99
2024-03-21 02:39:00,39.51
2024-03-21 02:39:20,39.11
2024-03-21 02:39:40,38.93
2024-03-21 02:40:00,38.87
2024-03-21 02:40:20,38.83
2024-03-21 02:40:40,38.63
2024-03-21 02:41:00,38.69
2024-03-21 02:41:20,39.02
2024-03-21 02:41:40,39.34
2024-03-21 02:42:00,39
2024-03-21 02:42:20,38.79
2024-03-21 02:42:40,38.81
2024-03-21 02:43:00,38.68
2024-03-21 02:43:20,38.99
2024-03-21 02:43:40,39.63
2024-03-21 02:44:00,39.31
2024-03-21 02:44:20,38.69
2024-03-21 02:44:40,38.63
2024-03-21 02:45:00,39.23
2024-03-21 02:45:20,39.61
2024-03-21 02:45:40,39.19
2024-03-21 02:46:00,38.64
2024-03-21 02:46:20,38.68
2024-03-21 02:46:40,38.95
2024-03-21 02:47:00,39.52
2024-03-21 02:47:20,39.54
2024-03-21 02:47:40,38.77
2024-03-21 02:48:00,38.56
2024-03-21 02:48:20,39.42
2024-03-21 02:48:40,39.66
2024-03-21 02:49:00,38.98
2024-03-21 02:49:20,38.95
2024-03-21 02:49:40,39.6
2024-03-21 02:50:00,38.88
2024-03-21 02:50:20,38.91
2024-03-21 02:50:40,39.52
2024-03-21 02:51:00,38.95
2024-03-21 02:51:20,38.58
2024-03-21 02:51:40,38.55
2024-03-21 02:52:00,39.2
2024-03-21 02:52:20,39.7
2024-03-21 02:52:40,39.36
2024-03-21 02:53:00,39.23
2024-03-21 02:53:20,38.83
2024-03-21 02:53:40,38.75
2024-03-21 02:54:00,39.27
2024-03-21 02:54:20,39.66
2024-03-21 02:54:40,39.67
2024-03-21 02:55:00,39.4
2024-03-21 02:55:20,39.18
2024-03-21 02:55:40,39.67
2024-03-21 02:56:00,39.15
2024-03-21 02:56:20,39.19
2024-03-21 02:56:40,39.5
2024-03-21 02:57:00,39.21
2024-03-21 02:57:20,39.1
2024-03-21 02:57:40,39.66
2024-03-21 02:58:00,39.76
2024-03-21 02:58:20,39.6
2024-03-21 02:58:40,39.59
2024-03-21 02:59:00,38.97
2024-03-21 02:59:20,38.89
2024-03-21 02:59:40,39.57
2024-03-21 03:00:00,39.74
2024-03-21 03:00:20,39.78
2024-03-21 03:00:40,39.15
2024-03-21 03:01:00,39.18
2024-03-21 03:01:20,39.22
2024-03-21 03:01:40,39.19
2024-03-21 03:02:00,39.12
2024-03-21 03:02:20,39.06
2024-03-21 03:02:40,39.03
2024-03-21 03:03:00,38.99
2024-03-21 03:03:20,39.27
2024-03-21 03:03:40,39.03
2024-03-21 03:04:00,39.19
2024-03-21 03:04:20,39.13
2024-03-21 03:04:40,38.84
2024-03-21 03:05:00,39.37
2024-03-21 03:05:20,38.97
2024-03-21 03:05:40,39.16
2024-03-21 03:06:00,39.12
2024-03-21 03:06:20,39.17
2024-03-21 03:06:40,38.5
2024-03-21 03:07:00,38.4
2024-03-21 03:07:20,38.45
2024-03-21 03:07:40,38.6
2024-03-21 03:08:00,38.74
2024-03-21 03:08:20,38.55
2024-03-21 03:08:40,38.46
2024-03-21 03:09:00,38.49
2024-03-21 03:09:20,39.01
2024-03-21 03:09:40,39.65
2024-03-21 03:10:00,39.61
2024-03-21 03:10:20,39.53
2024-03-21 03:10:40,39.45
2024-03-21 03:11:00,38.82
2024-03-21 03:11:20,38.64
2024-03-21 03:11:40,39.06
2024-03-21 03:12:00,39.49
2024-03-21 03:12:20,39.62
2024-03-21 03:12:40,39.23
2024-03-21 03:13:00,38.59
2024-03-21 03:13:20,38.6
2024-03-21 03:13:40,39.01
2024-03-21 03:14:00,39.03
2024-03-21 03:14:20,38.94
2024-03-21 03:14:40,38.9
2024-03-21 03:15:00,38.63
2024-03-21 03:15:20,38.76
2024-03-21 03:15:40,39.41
2024-03-21 03:16:00,39.66
2024-03-21 03:16:20,39.11
2024-03-21 03:16:40,39.19
2024-03-21 03:17:00,39.29
2024-03-21 03:17:20,38.81
2024-03-21 03:17:40,39.46
2024-03-21 03:18:00,39.44
2024-03-21 03:18:20,39.05
2024-03-21 03:18:40,39.59
2024-03-21 03:19:00,39.72
2024-03-21 03:19:20,39.7
2024-03-21 03:19:40,39.56
2024-03-21 03:20:00,38.91
2024-03-21 03:20:20,38.87
2024-03-21 03:20:40,39.55
2024-03-21 03:21:00,39.66
2024-03-21 03:21:20,39.25
2024-03-21 03:21:40,38.58
2024-03-21 03:22:00,38.55
2024-03-21 03:22:40,38.47
2024-03-21 03:23:00,38.57
2024-03-21 03:23:20,38.82
2024-03-21 03:23:40,39.32
2024-03-21 03:24:00,39.37
2024-03-21 03:24:20,39.11
2024-03-21 03:24:40,39.46
2024-03-21 03:25:00,39.66
2024-03-21 03:25:20,39.54
2024-03-21 03:25:40,39.02
2024-03-21 03:26:00,38.63
2024-03-21 03:26:20,38.99
2024-03-21 03:26:40,39.33
2024-03-21 03:27:00,39.58
2024-03-21 03:27:20,39.74
2024-03-21 03:27:40,39.76
2024-03-21 03:28:20,39.56
2024-03-21 03:28:40,38.82
2024-03-21 03:29:00,38.89
2024-03-21 03:29:20,39.57
2024-03-21 03:29:40,38.98
2024-03-21 03:30:00,38.62
2024-03-21 03:30:20,38.78
2024-03-21 03:30:40,39.5
2024-03-21 03:31:00,39.24
2024-03-21 03:31:20,38.55
2024-03-21 03:31:40,38.54
2024-03-21 03:32:00,38.78
2024-03-21 03:32:20,39.08
2024-03-21 03:32:40,39.63
2024-03-21 03:33:00,39.48
2024-03-21 03:33:20,38.75
2024-03-21 03:33:40,38.72
2024-03-21 03:34:00,39.46
2024-03-21 03:34:20,39.72
2024-03-21 03:34:40,39.21
2024-03-21 03:35:00,38.64
2024-03-21 03:35:20,39.05
2024-03-21 03:35:40,39.69
2024-03-21 03:36:00,39.74
2024-03-21 03:36:20,39.34
2024-03-21 03:36:40,38.9
2024-03-21 03:37:00,39
2024-03-21 03:37:20,39.27
2024-03-21 03:37:40,38.86
2024-03-21 03:38:00,38.64
2024-03-21 03:38:20,38.53
2024-03-21 03:38:40,38.58
2024-03-21 03:39:00,39.16
2024-03-21 03:39:20,39.57
2024-03-21 03:39:40,38.84
2024-03-21 03:40:00,39.08
2024-03-21 03:40:20,39.69
2024-03-21 03:40:40,39.26
2024-03-21 03:41:00,38.53
2024-03-21 03:41:20,38.39
2024-03-21 03:41:40,38.53
2024-03-21 03:42:00,39.28
2024-03-21 03:42:20,39.06
2024-03-21 03:42:40,39.26
2024-03-21 03:43:00,38.98
2024-03-21 03:43:20,38.97
2024-03-21 03:43:40,39.64
2024-03-21 03:44:00,39.16
2024-03-21 03:44:20,38.68
2024-03-21 03:44:40,38.52
2024-03-21 03:45:00,38.39
2024-03-21 03:45:20,38.58
2024-03-21 03:45:40,38.88
2024-03-21 03:46:00,39.12
2024-03-21 03:46:20,39.57
2024-03-21 03:46:40,39.23
2024-03-21 03:47:00,38.67
2024-03-21 03:47:20,38.97
2024-03-21 03:47:40,39.5
2024-03-21 03:48:00,39.51
2024-03-21 03:48:20,38.82
