time,moisture
2024-03-21 02:12:20,57.93
2024-03-21 02:12:40,58.52
2024-03-21 02:13:00,58.22
2024-03-21 02:13:20,57.36
2024-03-21 02:13:40,57.12
2024-03-21 02:14:00,57.57
2024-03-21 02:14:20,58.27
2024-03-21 02:14:40,58.41
2024-03-21 02:15:00,57.52
2024-03-21 02:15:20,57.14
2024-03-21 02:15:40,57.99
2024-03-21 02:16:00,57.86
2024-03-21 02:16:20,57.05
2024-03-21 02:16:40,56.95
2024-03-21 02:17:00,57.08
2024-03-21 02:17:20,57.23
2024-03-21 02:17:40,57.99
2024-03-21 02:18:00,58.28
2024-03-21 02:18:20,58.34
2024-03-21 02:18:40,58.37
2024-03-21 02:19:00,57.98
2024-03-21 02:19:20,57.2
2024-03-21 02:19:40,57.38
2024-03-21 02:20:00,58.28
2024-03-21 02:20:20,58.71
2024-03-21 02:20:40,58.58
2024-03-21 02:21:00,58.61
2024-03-21 02:21:20,58.7
2024-03-21 02:21:40,58.74
2024-03-21 02:22:00,58.67
2024-03-21 02:22:20,58.42
2024-03-21 02:22:40,57.99
2024-03-21 02:23:00,57.25
2024-03-21 02:23:20,57.65
2024-03-21 02:23:40,58.5
2024-03-21 02:24:00,58.19
2024-03-21 02:24:20,57.54
2024-03-21 02:24:40,57.04
2024-03-21 02:25:00,57.25
2024-03-21 02:25:20,57.22
2024-03-21 02:25:40,56.99
2024-03-21 02:26:00,57.58
2024-03-21 02:26:20,58.15
2024-03-21 02:26:40,58.16
2024-03-21 02:27:00,57.19
2024-03-21 02:27:20,57.01
2024-03-21 02:27:40,57.42
2024-03-21 02:28:00,57.49
2024-03-21 02:28:20,57.24
2024-03-21 02:28:40,57.37
2024-03-21 02:29:00,58.21
2024-03-21 02:29:20,57.63
2024-03-21 02:29:40,57.24
2024-03-21 02:30:00,57.3
2024-03-21 02:30:20,57.39
2024-03-21 02:30:40,57.44
2024-03-21 02:31:00,57.17
2024-03-21 02:31:20,57.91
2024-03-21 02:31:40,58.05
2024-03-21 02:32:00,57.13
2024-03-21 02:32:20,57.26
2024-03-21 02:32:40,57.18
2024-03-21 02:33:00,57.21
2024-03-21 02:33:20,57.85
2024-03-21 02:33:40,58.31
2024-03-21 02:34:00,58.3
2024-03-21 02:34:20,57.35
2024-03-21 02:34:40,57.37
2024-03-21 02:35:00,58.14
2024-03-21 02:35:20,58.37
2024-03-21 02:35:40,58.1
2024-03-21 02:36:00,57.21
2024-03-21 02:36:20,56.95
2024-03-21 02:36:40,57.29
2024-03-21 02:37:00,58.21
2024-03-21 02:37:20,58.26
2024-03-21 02:37:40,57.35
2024-03-21 02:38:00,57.7
2024-03-21 02:38:20,58.05
2024-03-21 02:38:40,57.15
2024-03-21 02:39:00,56.99
2024-03-21 02:39:20,56.9
2024-03-21 02:39:40,56.86
2024-03-21 02:40:00,56.88
2024-03-21 02:40:20,57.01
2024-03-21 02:40:40,57.67
2024-03-21 02:41:00,57.29
2024-03-21 02:41:20,56.82
2024-03-21 02:41:40,56.9
2024-03-21 02:42:00,57.12
2024-03-21 02:42:20,57.32
2024-03-21 02:42:40,57.01
