time,moisture
2024-03-21 02:12:00,31.45
2024-03-21 02:12:20,31.86
2024-03-21 02:12:40,32.39
2024-03-21 02:13:00,32.09
2024-03-21 02:13:20,31.28
2024-03-21 02:13:40,31.11
2024-03-21 02:14:00,31.53
2024-03-21 02:14:20,32.18
2024-03-21 02:14:40,32.23
2024-03-21 02:15:00,31.48
2024-03-21 02:15:20,31.15
2024-03-21 02:15:40,31.84
2024-03-21 02:16:00,31.75
2024-03-21 02:16:20,31.07
2024-03-21 02:16:40,30.97
2024-03-21 02:17:00,31.06
2024-03-21 02:17:20,31.16
2024-03-21 02:17:40,31.8
2024-03-21 02:18:00,32.13
2024-03-21 02:18:20,32.17
2024-03-21 02:18:40,32.24
2024-03-21 02:19:00,31.76
2024-03-21 02:19:20,31.11
2024-03-21 02:19:40,31.32
2024-03-21 02:20:00,32.12
2024-03-21 02:20:20,32.42
2024-03-21 02:20:40,32.34
2024-03-21 02:21:20,32.38
2024-03-21 02:21:40,32.43
2024-03-21 02:22:00,32.42
2024-03-21 02:22:20,32.3
2024-03-21 02:22:40,31.79
2024-03-21 02:23:00,31.08
2024-03-21 02:23:20,31.6
2024-03-21 02:23:40,32.32
2024-03-21 02:24:00,32.01
2024-03-21 02:24:20,31.35
2024-03-21 02:24:40,31.09
2024-03-21 02:25:00,31.2
2024-03-21 02:25:20,31.22
2024-03-21 02:25:40,31.07
2024-03-21 02:26:00,31.54
2024-03-21 02:26:20,32.09
2024-03-21 02:26:40,32.07
2024-03-21 02:27:00,31.23
2024-03-21 02:27:20,31.03
2024-03-21 02:27:40,31.26
2024-03-21 02:28:00,31.31
2024-03-21 02:28:20,31.13
2024-03-21 02:28:40,31.36
2024-03-21 02:29:00,32.21
2024-03-21 02:29:20,31.67
2024-03-21 02:29:40,31.14
2024-03-21 02:30:00,31.18
2024-03-21 02:30:20,31.36
2024-03-21 02:30:40,31.48
2024-03-21 02:31:00,31.17
2024-03-21 02:31:20,31.88
2024-03-21 02:31:40,32.03
2024-03-21 02:32:00,31.16
2024-03-21 02:32:20,31.17
2024-03-21 02:32:40,31.14
2024-03-21 02:33:20,31.79
2024-03-21 02:33:40,32.27
2024-03-21 02:34:00,32.24
2024-03-21 02:34:20,31.41
2024-03-21 02:34:40,31.31
2024-03-21 02:35:00,32.07
2024-03-21 02:35:20,32.3
2024-03-21 02:35:40,32.04
2024-03-21 02:36:00,31.22
2024-03-21 02:36:20,31
2024-03-21 02:36:40,31.33
2024-03-21 02:37:00,32.17
2024-03-21 02:37:20,32.18
2024-03-21 02:37:40,31.37
2024-03-21 02:38:00,31.7
2024-03-21 02:38:20,31.97
2024-03-21 02:38:40,31.17
2024-03-21 02:39:00,31.06
2024-03-21 02:39:20,30.98
2024-03-21 02:39:40,30.94
2024-03-21 02:40:00,30.97
