time,length
2024-03-14,6.98055914975
2024-03-15,7.334151717500001
2024-03-16,7.826075613
2024-03-17,8.29685815725
2024-03-18,8.753857103
2024-03-19,9.0491218005
2024-03-20,9.37596681825
2024-03-21,9.786154623249999
2024-03-22,10.17211676725
2024-03-23,10.481942513
2024-03-24,10.876567258000001
2024-03-25,11.085051496499998
2024-03-26,11.46727209475
2024-03-27,11.8291356775
2024-03-28,12.08847618
2024-03-29,12.537477817500001
2024-03-30,12.92892783
2024-03-31,13.347341335
2024-04-01,13.726640457499999
2024-04-02,14.027802470000001
2024-04-03,14.316070457499999
2024-04-04,14.732335172500001
2024-04-05,14.75625328
