time,length
2024-03-14,7.3197506175000004
2024-03-15,7.702459420499999
2024-03-16,8.067043966
2024-03-17,8.36038725075
2024-03-18,8.7933627935
2024-03-19,9.14669448225
2024-03-20,9.4700811605
2024-03-21,9.906740108
2024-03-22,10.230767498
2024-03-23,10.613679244
2024-03-24,10.954530322499998
2024-03-25,11.1860357975
2024-03-26,11.68223163
2024-03-27,12.05109008
2024-03-28,12.530771365
2024-03-29,12.94949639
2024-03-30,13.3157949125
2024-03-31,13.62736771
2024-04-01,14.0736237225
2024-04-02,14.415988062499999
2024-04-03,14.833943009999999
2024-04-04,15.2142872175
2024-04-05,15.215778150000002
