time,length
2024-03-14,6.87227053425
2024-03-15,7.22076854925
2024-03-16,7.670623199
2024-03-17,8.115061063
2024-03-18,8.59079770025
2024-03-19,9.020819009
2024-03-20,9.52324365375
2024-03-21,9.837187302499999
2024-03-22,10.28803827175
2024-03-23,10.62739655
2024-03-24,11.03119359875
2024-03-25,11.435074218
2024-03-26,12.03217386225
2024-03-27,12.486439194
2024-03-28,12.9210082675
2024-03-29,13.41131508
2024-03-30,13.838816005
2024-03-31,14.24256048
2024-04-01,14.667051975
2024-04-02,15.05284676
2024-04-03,15.403079479999999
2024-04-04,15.79997118
2024-04-05,15.902333537499999
